,총무과,자치행정과,홍보과,교육지원과,문화체육과,민원여권과,기획예산과,일자리경제과,스마트정보과,재무과,징수과,재산세과,지방소득세과,복지정책과,어르신복지과,자립지원과,가족정책과,보육정책과,녹색환경과,건설관리과,공원녹지과,청소행정과,주택과,도시계획과,재건축사업과,건축과,부동산정보과,안전재난과,도로과,치수과,교통행정과,주차관리과,보건행정과,보건위생과,지역보건과,의약과,보건지소
40,"학습관리시스템, 교육명령 및 여비지급",양천구자원봉사센터 관리 및 지원 총괄,양천구 인스타그램 운영,"방과후 프로그램, 어린이 경제스쿨 운영",야외운동기구 설치 및 안전점검 등 관련 업무,"양육수당, 출산지원금 동시 신청 접수, 채무불이행",대외 공모사업 관리,창업 원스톱 일사천리 서비스 제공,공공데이터 제공 운영 및 관리,,세외수입 예산 및 결산,주택평가 전산관리,등록면허세(차량분) 총괄,비급여진료비 심사청구,노인맞춤돌봄서비스 운영,입양아동 생계급여 지급,지역아동센터 운영지원 및 관리 등,민간어린이집 기능보강사업 지원관리,기후변화대응업무총괄,"기타민원 현장사진채증, 120및새올민원처리등","공공공지, 마을마당, 가로공원 정비 및 관리",산업 안전관리자,공동주택 안전점검 및 재난관리 총괄,,,승강기 관리업무 총괄,측량기준점 관리,"보건교육 실시, 근로자 보건관리, 건강 상담",보도유지관리 업무 보조(실적 및 통계관리 등),침수흔적도,양천구민 자전거단체보험 가입 및 운영,CCTV 장소선정 및 유지보수 예산,"역학조사 반장, 수습 역학조사관",길고양이 급식소 설치,보건소 휠체어 대여,통증물리치료,
41,악성민원 피해직원 상담치료 지원 등,마을공동체 사업 총괄,홈페이지 운영 및 유지 관리(부),지역탐방 프로그램 운영,"공공문화체육시설 관련업무 (계남다목적체육관, 해누리체육공원, 연의체육공원, 갈산문화예술센터)","사망,실종선고,창성,개명 기록",민간위탁 사무 총괄,양천창업지원센터 운영 지원,업무관리(온나라)시스템 운영 및 관리,,"중기재정계획, 연감 등 작성 및 관리",개별주택가격(목동),"차량 취득세, 자동차세 부과 및 취소 민원처리(신월동)",따뜻한 겨울나기 사업 배분 총괄,ICT기반 인공지능스피커 돌봄사업,"자활근로사업 추진(직영, 민간위탁)","지역아동센터위원회 운영, 지역아동센터 급식비 지원","민간어린이집 차량, 놀이터 및 석면관리 등 안전관리",기후변화대응 업무계획 수립,"관용차량 관리업무(세금,유류정산)",어린이놀이터 모래소독,"전기시설관리, 소방시설 관리","소규모 공동주택 안전점검 관리, 공동주택 승강기 안전점검 관리",,,기계설비법 관련 업무,연속도 및 용도지역관리(토지이용계획),"작업환경관리실태 파악 및 작업장 순회, 사후조치",신정동 지역 보도 담당 (민원처리 등),자연재해 복구 관련,서울시 공공자전거(따릉이) 대여소 확충,"견인업체 관리, 장기미반환차량 처리","신종,해외 유입감염병 대응 관리",동물복지시행계획 수립,방문인력 전문 교육 총괄,물리치료실 물품 구매 및 관리업무,
42,직원 공무 국외연수 추진 및 선발 심사,마을공동체위원회 운영,홈페이지 관련 솔루션 및 배너 관리,"초등, 중등 진로잡학교실 운영",갈산문화예술센터 시설관리 및 운영,"입양,파양,성본변경 기록",주민배심원평가단 운영,창업인큐베이팅 운영 및 양천 창업허브 운영 지원,전자이미지관인 제공,,세외수입 정리보류,법인에 대한 지방세 조사계획 수립 총괄,,긴급복지(목동) 및 저소득구민 연계지원,서울재가관리사 운영,양천지역자활센터 운영,청소년 관련 단체 지원 및 비영리법인 관리,"민간,직장어린이집 교사근무환경개선비 지급",기후변화대응업무 추진,보도상영업시설물 등 점용허가 및 도로관리시스템 관리,친수공간 정비 및 관리,"시설물 관리, 주유기 관리 등","어린이 놀이시설, 공동주택 미술작품 관리, 지하주차장 차수판",,,"공공건축물 설계공사감독 등 시설업무(기계, 소방)",부동산등기용등록번호 부여,보건관리자 업무,도로굴착허가 승인 처리 및 체납관리(상수도),"목2,3동 민원처리",자전거이용자 및 보행자 안전 교육 관련 업무,문자 알리미 서비스 등록 및 관리,"고위험시설 등 집단환자 현장조사, 위험도평가",동물병원 인허가 및 지도점검,찾아가는 동주민센터 모니터링,임상병리실,
43,국내.외 자매도시 교류 및 남북교류 관련업무,"공유사업 지원(공구,백일상,휠체어)",통합메세징시스템(UMS) 운영 관리,토요진로체험운영,목동테니스장 지붕조성(공약사업),신정동 제적부 정정 및 관리,혁신행정우수사례 경진대회,온라인마케팅지원사업 및 청년점포 육성사업 추진,가상현실(VR) 투어 콘텐츠 운영 및 유지관리,,세외수입 고지서 발송,법인 담당동 부과징수(목1동),,양천사랑복지재단 관리,어르신 안심주거환경 개선사업(공약),자활기금 관리,청소년지도협의회 운영,"가정어린이집 인가,운영 및 보조금 지급관리(신월동,목1~3동)",대기질 개선대책 추진,"새올, 전화 민원(목동, 신정1,2,6,7동)",조경분야 현장 관리,시설물 관리,목3동 도시재생 뉴딜사업,,,건축안전센터 업무 총괄,개별공시지가(신월동),민방위의 날 훈련,지하안전 관리 업무,풍수해보험,경전철 등 도시철도 관련업무,불법주정차 새올상담민원 처리,재택관리반 반장,동물보호법 위반 민원에 관한 사항 총괄(민원처리 포함),"실명예방, 인공 무릎관절사업 관련 업무",임상병리실업무,
44,"직원 국내연수(상생탐방), 후생복지심의위원회",민관협력플랫폼 사업,"양천구 페이스북, 카톡채널 운영",진로나침반 운영,공공문화체육시설 안전관리 및 시스템 등록 등 관련업무,"재판연계사건 최고 및 공시송달,등록부 정정",자치분권 및 이양업무,양천구 청년 참여 활성화 사업 총괄,정보통신기반시설고도화 및 종합업무계획 수립 및 추진,,부동산 및 차량 압류(해제),법인 세무조사 총괄,,푸드뱅크/마켓센터 관리,"장사, 납골, 장례식장 및 코로나19 사망자 지원 업무",차상위자활 보장결정,"청소년유해업소 지도,단속",가정어린이집 교사근무환경개선비 지급,탄소중립 위원회 및 실천연대 관련 업무,"새올, 전화 민원(신월동, 신정3,4동)","조경분야 근로자근무관리(공무직,기간제,공동체)",도로살수차량 운행 및 관리,목4동 골목길 재생사업,,,소규모 노후건축물 안전점검,부동산가격공시위원회,을지태극연습 계획 수립 및 시행,도로굴착복구공사 하자 관리,침수방지시설,"시내 및 마을버스 노선조정, 버스정류소 명칭 변경",주행형CCTV 단속 시스템 및 차량 관리,재택관리반 운영 및 역학조사 업무 지원,"가축전염병 관련 업무(조류인플루엔자,광견병)",대사증후군센터 운영,야간휴일 건강지킴이 사업,
45,"친절관련업무, 건강검진비 지원",양천구자원봉사센터 관리 및 지원,SNS 콘텐츠 공모전 운영,Z세대 라이프스타일,"공공문화체육시설 유지보수 및 물품구매 및 민원처리(양천구민체육센터, 양천문화회관, 목동테니스장, 건강힐링문화관)","혼인, 이혼 기록, 등록기준지 변경",각종 위원회 관리,양천구 마주봄 멘토링 사업(청년자율예산제),"신규,노후 정보통신장비 구축계획 수립 및 추진",,세외수입 전산시스템관리,법인 세원발굴 포상금 지급,,따뜻한 겨울나기사업 모금 총괄,장기요양기관 코로나 대응 및 방역업무,주거급여 업무 총괄,"청소년부모 급여 지급, 청소년상 시상, 청소년증 발급",평가인증시설 교재교구비 지급,기후변화대응에 특별한 프로젝트 운영,거리가게 실태조사(총괄),"조경분야 비품관리, 차량관리",청소차량 운행,목3동 도시재생 뉴딜사업(시장 및 골목길 환경정비사업),,,팀내 타직원에 속하지 않는 업무,개별공시지가 조사업무 총괄,민방위(화생방) 시설장비 관리,"목1,5동 지역 보도담당(민원처리 등)",수방자재,도로교통소통 및 교통사고 잦은곳 개선사업(교통),불법주정차 시민신고제 처리 총괄,코로나19 업무 총괄(상황 보고 및 대응 등),취약계층을 위한 우리동네 동물병원 사업,개울건강센터 운영,조제실 업무,
46,맞춤형 복지제도 운영(복지포인트 및 단체보험),마을공동체 공모사업 운영 지원,SNS 이벤트 등에 관한 사항,평생학습관 운영 총괄,갈산문화예술센터 시설물 운영관리,"과태료, 12호 통보 처리",제도개선(창의)에 관한 사항,청년 마음건강 바우처 지원 사업,정보보안 및 개인정보보호 추진계획 수립 및 추진,,,법인 담당동 부과징수(목2~목5동),,서울형 긴급복지 총괄,어르신요양시설 기능보강업무,주거급여 보장결정 및 급여 지급,아동학대조사업무,보육교직원 경력관리,초록울타리 및,가로환경 정비 순찰 계획수립 및 단속 업무 총괄,개발제한구역 관리,도로 물청소차량 운행 및 관리,신월1동 서울형 도시재생 활성화 용역 추진,,,특별회계예산 총괄,개별공시지가 민원업무 처리,충무계획 총괄 및 전시민방위계획수립,"도로굴착허가 승인 처리 및 체납관리(개인, 하수, 통신)","목4, 5동 민원업무","교통체계개선(목1.5동, 신정동)",응답소 현장민원 모니터링 및 통합플랫폼 운영,"감염병예방？관리 계획 수립(사회재난, 충무 등)","축산물 위생업소 관련 인허가,지도점검",국민영양관리시행계획 수립 및 평가,희귀질환자 의료비지원사업,
47,"공무원 연금, 건강보험",,공동주택 엘리베이터 미디어보드 영상 제작,한걸음학습장 운영,갈산문화예술센터 시설관리,"결격사유 조회, 인구동향 총괄",협업포인트 운영,광역 일자리 카페 운영,정보통신 통합유지보수,,,"법인 중과세, 비과세감면 총괄",,긴급복지(신정동),"노인 의료,주거복지시설 관련업무",주거급여 이의신청 및 환수처리 등,아동학대 대응체계 총괄,,청사 그린월 관리 및 스마트그리스 사업추진,노점정비 정비지역 사후관리용역 관련업무,산지전용(협의) 등 인허가 사항,차량관리,신월3동 모아타운 관리계획 수립,,,건축물 공사감리 관리 감독,"개발부담금 부과 징수 총괄(신정동,신월동)",중점관리자원 확인의 날 행사,"맨홀정비 공사설계 및 감독, 관리 업무",빗물펌프장 기계설비 공사 설계 감독,교통약자 보호구역 현황관리,불법주정차 단속 의견진술 접수 및 관리,1급 감염병 발생 신고 및 역학조사,유기동물 보호업무,통합건강증진 영양사업 총괄 및 운영,서울시 어르신 한의약증진사업,
48,"팀별벤치마킹 운영, 직원워크숍",,양천구 블로그 운영,신월거점형 평생학습관 조성,"양천구 체육회 운영,지원 및 지도감독",신월동 제적부 정정 및 관리 등,조례규칙심의회 운영,청년인턴제 운영(지역주도형 청년 일자리 사업),정보보호시스템 운영,,,법인 서면신고 조사 처리 총괄,,통합사례관리,"주야간보호시설, 단기보호 관련 업무",수선유지급여 업무 총괄,"아동학대 조사 및 사례판단, 보호조치",,에코마일리지,"구청장에게 바란다, 정보공개 민원처리",등산로 정비 및 유지관리 등,물청소차량운행,신월3동 도시재생 활성화계획 용역,,,건축물 안전관리대책에 대한 세부 실행,건축물대장 작성(변경) 및 관리(신정동),민방위대원 편성관리,"목2,3,4동 지역 보도담당(민원처리 등)",빗물펌프장 및 수문 유지관리(기계분야),교통약자 보호구역 개선사업(교통),불법주정차 단속 상담 등 처리(전문상담),"역학조사반 및 재택관리반 업무지원(역학, 현장조사)","동물용의약품 인허가, 지도점검",임산부 및 영유아 영양플러스사업,영유아 발달 정밀검사비 지원,
49,"후생복지심의위원회 운영, 명절 직원 격려품, 공로연수자 개인연수 지원",,구청 및 산하기관 멀티미디어 매체 운영 관리,"인문학아카데미, 방학특별프로그램",전국소년체육대회 및 장애인 학생체육대회 지원,가족관계등록 신고 접수,자치법규 법제심사(행정재경위원회 소관),청년 취업연계 프로그램 운영 및 지원,정보화사업 보안성 검토,,,법인 담당동 부과징수(신정동),,위기가정통합센터,장기요양기관 지정 심사위원회 업무,"통장사업(희망저축, 청년내일저축, 내일키움 등)",입양가정 지원,,승용차마일리지,진정민원 처리 및 행정대집행 업무처리,"농지업무(농지대장, 농업법인)",,신월3동 도시재생 예산관련,,,"건축 인허가, 건축물 점검, 건축위원회 전문분야 기술지원",개발부담금 부과 및 징수(목동),민방위대원 교육,"도로굴착허가 승인 처리 및 체납관리(가스, 전기, 난방, 기타)",목동유수지 관리,"교통체계개선(목2~4동, 신월동)","불법주차단속(pda,고정형cctv)자료 등록 및 대사 작업",이탈자 관리 및 역학조사 불능자 등 관리,"동물보호(명예)감시원 지정, 운영",싱겁게 먹는 실천 배움터 사업,한방진료실 업무,
50,법인콘도 및 하계휴양소 운영,,SNS 서포터스 블로그 콘텐츠 게시,"느린학습자 지원사업, 학원(독서실)관련 업무",양천가족등산대회,여권판독,"법령, 서울시 조례 제ㆍ개정 관련 모니터링",사회적 고립청년 지원 사업 추진,"사이버,보안 진단의 날 운영",,,등록면허세(등록) 총괄,,"돌봄SOS센터 사업총괄(예산, 계획, 홍보, 자료작성)",재가장기요양기관 현지조사 및 후속업무,노숙인 부랑인지원 및 시설 운영 지도,아동발달계좌지원(디딤씨앗통장),,기후변화대응 환경교육 업무,"가로정비 및 환경순찰(목동,신정1,2,6,7동)",에코스페이스 연의 운영,,신월3동 뉴딜사업 추진,,,건축전문위원회 운영,개별공시지가 조사업무(목동),비상대비 인력동원업무(인력동원계획수립),도로굴착감독업무보조원(공무직) 임금 등 관리,시특법 시설물 정기점검 및 예산관리,어린이 교통안전 교육 위탁 운영 및 시설 관리,전화상담민원 및 타업무 지원,코로나19 대응 및 비상근무,농수산물 원산지표시 지도점검 및 행정처분,건강생활실천사업,통합 건강증진사업(한의약),
51,구상조회 및 동호회 관련 업무,,양천구 공식 SNS 컨텐츠 제작 및 가입 홍보,평생학습 프로그램 운영,민간체육시설(수영장) 안전관리 및 정기점검,여권교부,소송문서 심사 및 소송자료 관리,양천창업지원펀드 운용 및 관리,정보통신 기반시설 고도화 및 종합업무계획 수립,,,법인 담당동 부과징수(신월동),,돌봄SOS센터 실적관리 및 모니터링,등급판정위원회 관련 업무,"기초생활수급자 및 차상위 양곡지원, 건강음료비 지원, 저소득층 건강보험료 지급",아동위원협의회,,탄소중립 생활실천 사업,현장지원 용역인력 관리,희망목공소 운영,,서울시 가꿈주택 집수리지원사업(신월3동),,,정밀안전진단 지원사업 총괄,건축물대장 작성(변경) 및 관리(목동),사회복무요원 복무관리,차량유지관리 업무,빗물펌프장 전기설비 공사 설계 감독,어린이 등하교 교통안전지도사업,장애인 주차구역 단속 및 관리,2급 감염병 발생 신고 및 역학조사,동물등록제 업무,통합건강증진사업(신체활동 및 비만),구강사업,
52,직원 대학(원) 위탁 교육비 지원,,공동주택 미디어보드영상 제작 지원,원어민 화상 영어학습,체육시설업 신고업무 및 관리(신정동),영수필증 관리 및 관련 월보 지원,"법률고문, 자문변호인단 운영",양천구 상공회(소상공회) 지원 및 관리,자가통신망 확충 및 고도화,,,,,돌봄SOS센터 민관거버넌스 구성 운영,재가요양기관 관련 업무,"차상위 명절위문금 지급, 저소득층 마스크 보급사업",아동학대 조사,,전기차,접수민원 현장처리,도시농업위원회 운영,,주민참여예산사업(신월3동),,,안전취약시설 보수보강 총괄,개별공시지가 의견제출 및 이의신청 처리(목동),민방위교육훈련 행정처분(과태료) 업무,신월동 지역 보도담당(민원처리 등),목동오목펌프장 전기소방설비 유지관리,버스정류소 이전 관련 업무,불법주차 단속민원 상담 및 처리,비상방역근무 계획 수립 및 운영,유기동물 입양 구민 동물등록 인식표 지원,심뇌혈관질환 예방관리사업,진료실 업무,
53,청사 전기시설 유지관리,,구정홍보영상 기획 및 촬영 총괄,"평생교육협의회 운영, 우수 프로그램 지원 등","체육단체 지원 및 관련시설(볼링,검도,우드볼..)",긴급여권심사 및 제반업무,"무료법률상담, 자문변호인단 운영",양천사랑 상품권 발행 및 유통업무,스마트 서울 네트워크(S-net) 업무 구축 및 운영,,,,,"서비스제공기관 협약 및 품질관리(일시재가, 단기시설, 동행지원)",재가노인지원센터 관련 업무,의료급여 자격관리,아동학대 조사업무,,발전소 주변지역 관련,노점상 실태조사 및 확인서 징구,양천도시농업공원교육센터 프로그램 운영 및 관리,,신월3동 도시재생 뉴딜사업 추진,,,다중이용업소 안전관리 총괄,,주민신고망 관리,굴착감독업무보조(신월동),수방자동화 설비 유지관리 용역업무,자동차 등록업무 총괄,화물운송업체 지도단속 및 행정처분,"코로나19 입원,격리치료비 총괄","유실,유기동물 입양비 지원, 내장형 동물등록비 지원",아토피천식 예방관리사업,암환자 의료비지원 사업,
54,청사 기계설비 관리,,신규영상 콘텐츠 발굴 및 제작,평생학습관 시설물 점검 및 유지 관리,"양천마라톤, 동별 체육교실 확대",여권심사,청문주재 지원,소상공인 재난지원금(방역지원금) 지원업무 등,공공장소 무선인터넷존 확대 구축 및 현황관리,,,,,돌봄SOS센터 사업 (교육 및 회의운영 등),재가장기요양기관협회 관련 업무,의료급여기금,아동복지심의위원회(사례결정위원회) 운영,,에너지 기본계획 관련 업무,불법 도로점용 행정처분(과태료부과),양천도시농업 관련 프로그램 기획 및 홍보,,신월3동 시장활성화 사업 추진,,,"안전관리계획 검토, 수행기관 지정 총괄",,,굴착감독업무보조(목동),빗물펌프장 전기설비 공사,자동차등록민원팀 자동차관리법위반 과태료 체납관리,"화물자동차 유상운송, 중대한 교통사고 행정처분",시구 협력사업 및 정부합동평가,"동물보호법 관련 인허가, 지도점검",소아당뇨 인식개선 사업,서울형 유급병가지원 사업 총괄,
55,기계설비유지관리자,,"방송스튜디오 운영, 관리",평생학습관 공공요금 등 예산 집행,"구청장기(배), 협회장기(배) 대회",여권접수,중요문서 심사(공고문),"목동919-7,8 구유지 통합개발(대기업 유치 등)",ipt인터넷 전화교환기 담당,,,,,"구 돌봄회의 운영 (예외지원대상, 한도추가 등)",재가장기요양기관 입소이용 신청 업무,의료급여심의위원회,아동보호사업 운영(아동보호서비스 총괄),,"가스(LPG,고압가스)관련 업무",가로환경 정비실적 일일결산 및 단속자료 정리,도시농업축제 및 박람회 개최업무,,마을주차환경개선사업 추진,,,,,,굴착감독업무보조(신정동),"목동,오목펌프장 전기 소방설비 유지관리",자동(이륜)차 행정전산망 관리,화물운송 위수탁 계약 실태조사,"해외입국자 관리 총괄, 집단환자 발생 시 지원",,"청소년, 청년 당뇨병 환자 지원사업",보건소 구강보건실 진료,
56,해누리 문화시설 관리 및 운영,,양천디지털미디어센터 시설 운영,청사 유지보수 예산 집행,각종 체육대회 참가 지원,,무료법률상담실 운영에 관한 사항,로컬브랜드 상권 육성 사업 추진,정보통신공사 착공전 설계도 검토/사용전검사/감리결과보고서 확인,,,,,서비스 제공기관 협약 및 품질 관리,,의료급여 부당이득금,아동복지시설(생활시설) 지원 및 관리,,전기차 충전시설 단속,수거물품 대장 작성 및 물품보관창고 물품 관리,"양천도시농업문화제, 직거래장터, 각종 체험행사",,공동주택상가(무허가 등),,,,,,도로기전시설물의 시설 및 관리계획 총괄,수방자동화설비 유지관리 용역,자동차등록번호판 영치 및 해제등록,양천모범운전자회 지원,코로나19 손실보상업무 총괄,,대사증후군센터(보건소3층) 운영,한방진료,
57,구청사 전기.소방 시설물 유지관리 및 교체 .보수공사,,유튜브 양천TV 운영 지원(이벤트 등),평생학습관 보안 점검 및 관리,장애인체육회 운영 지원,,자치법규 법제심사(복지건설위원회 소관),목동 홈플러스 임대료 및 관리 업무,통신공공요금 납부 및 정보통신 전용회선 관리(민원처리포함),,,,,"돌봄SOS센터 전산관리시스템 관리 및 돌봄SOS센터 수가정산 지급 (식사지원, 주거편의)",,"서울형기초, 차상위계층","가정위탁 보호사업 지원비, 보호종료아동 자립지원",,신재생에너지,"가로정비 및 환경순찰(신월동,신정3,4동)","서울형 도시텃밭 조성사업(치유텃밭, 어린이텃밭, 학교텃밭)",,위반건축물 단속 및 현장순찰(신정동),,,,,,도로기전 스마트사업 총괄,민방위 비상급수시설 설치 및 유지관리,"의무보험과태료 체납, 독촉관리",교통민원심의위원회 관리,코로나19 대응 재택치료반 업무,,개울건강센터 운영(운동),아동치과주치의,
58,승강기 안전관리자,,양천디지털미디어센터 운영 및 장비관리,우수학습동아리 지원사업,스포츠바우처 지원업무,,"동 마을변호사, 마을법무사 운영에 관한 사항","지역상권(골목상권 등) 활성화 , 우리동네아트테리어사업","정보통신운영 소모품관리, 전산실 부대장비 관리(UPS, 항온항습기) 및 NTP 도입/운영",,,,,"통합사례관리(목2동,목3동.목4동)",,"부가급여(교육경비, 명절위문품비, 월동대책비)",아동보호전담요원 관리 및 인건비 지급,,"도시가스, 지역난방",,서울형 텃밭 관리사업,,항측총괄,,,,,,직통민원 처리 및 보수반 안전교육,지하수 보조관측시설 유지관리,"압류둥록,해제 관리",여객운송업체(택시) 지도 단속 및 행정처분,감염병 환자 사망자 관리,,목5동평생건강센터(운동),구강보건사업관련,
59,"해누리홀, 아트홀 시설관리 및 운영",,"방송기술 업무 전반(카메라, 비디오, 음향, 조명 시스템 등)",성인문해교육 운영,장애인 생활체육교실,,,"물가대책위원회, 가격표시제, 착한가격 업소 등",재난 및 안전관리 업무(정보통신분야) 및 시-구간 영상회의지원(부),,,,,위기가정통합센터(민관경 협력업무),,"의료급여지원(장애인 보조기기, 요양비, 임신출산비)",학대피해아동 쉼터 운영 및 관리,,,,텃밭 분양 및 관리(양천1마당텃밭),,기존무허가 건물 관리,,,,,,가로등 유지관리 및 가로등 보수반 작업지시,지하수 수질검사 관리,세외수입 총괄,교통불편민원(택시) 신고분 심의 및 행정처분,해외입국자 관리 지원,,어르신 건강동행사업,구강보건실 사업 담당,
60,"해누리홀, 아트홀 대관업무",,라이브 방송 및 화상회의 운용 송출 업무,세외수입 관련 업무,"동력수상레저기구/체육시설업(목동,신월동) 신고 업무",,,소상공인 재난지원금(폐업자금) 지원업무,"개인정보보호 업무계획수립, 관리수준 진단",,,,,"통합사례관리(신정2,3동 목1,5동)",,입양아동 정산비 지급,"종사자관리, 입퇴소자관리, 운영지원 등",,,,충무계획,,"위반건축물 단속 및 처리(목1동, 신정4동)",,,,,,도로기전시설 설계 시공 및 감독,지방공기업 예산회계시스템 지출 업무,자동차 등록원부 발급 및 열람 업무,"여객운송업체(버스, 전세버스) 지도단속 및 행정처분",코로나19 통지서 발급 총괄 및 일보 작성,,"신월, 목동 건강동행센터 운영",,
61,구청사 전기.소방 시설물 유지관리 및 교체보수공사,,양천디지털미디어센터 대관,"수강생 접수, 수강료 수납 및 환불","지역축구리그(K7리그, Y리그) 운영",,,양천구 가방 소공인 지원센터 운영,"개인정보 관리실태 점검, 영향평가 업무 추진",,,,,복지자원 배분 및 자원정리,,"의료급여사례관리(신월3,5동, 신정1,3,7동)",아동학대 조사 차량관리,,,,숲가꾸기 사업 및 위해식물 제거,,"이행강제금 총괄(체납정리), 정보공개 업무",,,,,,도로 기전시설 관련한 주요현안사항 처리,지하수 굴착행위 신고 및 원상 복구관리,이륜차 관련 업무,교통불편민원(버스) 신고분 심의 및 행정처분,코로나19 후유증센터 지원,,지역사회중심재활사업,,
62,"시설 관리 및 운영, 행사지원",,"유튜브 콘텐츠 업로드 및 관리, 홍보",평생학습관 시설 대관운영 관리,,,,"소상공인 매니저 관리 운용(급여, 보험 등)","개인정보 관리시스템 운영, 개인정보보호 교육",,,,,회의 자료정리 및 준비,,의료급여심의 개최,"당직관리(당직편성,수당지급)",,,,산림 내 임목 폐기물 처리 및 산림통계,,"공동주택상가(무허가 등) 민원 업무, 위반건축물 단속 및 현장순찰(신월동)",,,,,,가로등형 전기차 충전소 운영 및 유지관리,지하수 계측기 봉인관련 업무,자동차 저당 업무,타기관이첩 법규위반차량 행정처분(버스),지역사회 금연서비스사업 계획 수립 및 평가,,보건지소 재활보조기기 대여 서비스 운영 총괄,,
63,"해누리홀,아트홀(조명/음향/무대)",,영상 편집 및 양천디지털미디어센터 라이브방송 지원,월별 체험프로그램 개발 및 계획수립,,,,ESG실천 사회적경제 커뮤니티 공간 지원,"근거리통신망(LAN)설치공사 및 운영, 보안USB관리",,,,,"통합사례관리 (신월2,4,6,7동)",,"상해요인조사(100만원 이상, 100만원 미만)","아동학대예방사업(교육,홍보 등)추진",,,,산림병해충 방제 및 관련 사업 업무,,"위반건축물(항측, 신발생) 단속 및 처리 - 담당동 : 목3동, 신월2,4,5동",,,,,,가로등 유지관리(대장 관리 및 민원 처리),유출지하수 및 출수량 등 조사,"특별사법경찰관업무(자동차손해배상보장법-신월동,자동차관리법)",사업용차랑 차고지외 밤샘주차 지도단속 및 행정처분,금연단속원 채용 및 관리,,신월보건지소 재활보조기기 대여,,
64,,,"미디어홀 음향,조명,전광판 운용",목공체험지도,,,,(예비)사회적기업 재정지원사업 등,영상정보처리기기 운영관리 방침 수립 및 개정,,,,,"통합사례관리(신월1,3,5동)",,"의료급여 지원(틀니, 임플란트)",e아동행복지원시스템 총괄,,,,"산림 관리 및 등산로 정비(용왕산,갈산,신정산)",,소송 총괄,,,,,,도로기전시설물 공공요금 납부 및 하자 관리,수방용 소형펌프 유지관리,자동차 의무보험 가입촉구서 발송,택시부가세 경감세액 지도단속,금연클리닉 및 금연 치료사업 운영,,신월건강동행센터 운동사,,
65,,,미디어홀 대관업무,연의목공방 운영,,,,공정무역사업 및 전국 사회연대경제 지방정부협의회 관련 업무,통합관제센터 이전 설치 관련 업무 총괄,,,,,내부사례회의 총괄,,"조건부수급자 개별자립지원계획수립, 조건제시유예, 조건불이행결정",아동학대 피해아동 사례관리 및 종결총괄,,,,작업차량 유지관리,,행정차량 관리,,,,,,도로 기전시설의 설계 시공 및 감독,"목동빗물펌프장 수방시설물(수문,펌프,기계,전기,통신 등) 및 소방시설물 유지관리",자동차 의무보험 과태료 부과 징수,운수종사 자격미달자 자격정지 및 취소,건강도시사업,,어르신 건강동행사업 재활파트,,
66,,,미디어센터 시설 운영 및 장비 관리,연의목공방 운영 및 목공체험 지도,,,,"협동조합 설립,변경,해산신고에 관한 업무","방범CCTV 구축 설계, 발주, 감독",,,,,"통합사례관리(신정1,4,6,7동)",,"국민취업지원제도, 허그일자리, 장애인취업성공패키지","아동학대 사례판단 회의 운영 - 회의진행, 자문비 지급 등",,,,산림관리초소 및 작업 관리,,공동주택상가(무허가 등) 민원 업무,,,,,,재건축현장 가로등 업무 협의,목동빗물펌프장 수방시설물 및 소방시설물 유지관리,특별사법경찰관 업무(자동차손해배상보장법),부동산 압류해제,장기기증 관련 업무,,목동건강동행센터 영양사,,
67,,,라이브 방송 및 화상회의 운용 업무 지원,목공체험 프로그램 개발 및 계획수립,,,,사회적경제지원센터 운영 및 청사관리,방범CCTV 설치 장소 선정 및 설치 민원 처리,,,,,건강 관련된 상담 및 서비스 연계,,"건강생활유지비 지급, 국가유공자 무료진료증 발급","자립준비청년 자립지원 및 사후관리(자립수당, 임대주택 등)",,,,야생조수 보호(AI) 및 수렵지도,,"위반건축물(항측, 신발생) 단속 및 처리(목4동, 신월1동, 신정1,7동)",,,,,,"보안등1,2구역 유지관리",목동빗물펌프장 수방시설물 및 소방시설물 유지관리 업무,(총괄)이륜차 신고처리 및 이륜차위반 과태료 부과,과태료 이의신청 법원이송,국민건강증진법 위반 과태료 관련 업무,,어르신 건강동행사업 영양파트,,
68,,,영상 촬영 편집 등 영상콘텐츠 제작,,,,,사회적경제위원회 및 사회적경제기본계획,방범CCTV 노후장비 교체 및 성능개선 추진,,,,,,,"안심소득사업, 가사간병방문도우미 바우처 사업",가정위탁보호아동 지원에 관한 사항,,,,먹는 물 공동 이용시설 정비 유지관리,,"위반건축물(항측, 신발생) 단속 및 처리 - 담당동 : 목2,5동, 신월7동, 신정2동",,,,,,보도육교 승강기 유지관리,"목동 빗물펌프장 수방시설물(수문,펌프,기계,전기,통신 등)및 소방시설물 유지관리 업무","말소,폐차(차령초과 수출 멸실 등)",주정차위반과태료 부과 및 체납징수,"흡연 및 금연구역 민원 처리 및 관리(목동, 신월동)",,,,
